illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.0420999999642504],0,25,25,25,1,butterfly,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7678000000119596],0,26,26,26,1,cheer,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7601000000238969],0,27,27,27,1,street,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7403999999761481],0,28,28,28,1,cheer,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.48889999997612676],0,29,29,29,1,taxi,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8850000000000477],0,30,30,30,1,adventure,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6671999999880995],0,31,31,31,1,crutch,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7333000000119227],0,32,32,32,1,adventure,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.514900000035766],0,33,33,33,1,vest,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.071199999988039],0,34,34,34,1,taxi,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.2459000000357605],0,35,35,35,1,brave,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.9184999999999945],0,36,36,36,1,square,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.8629999999999995],0,37,37,37,1,brave,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8781999999880554],0,38,38,38,1,unhappy,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6674999999999613],0,39,39,39,1,deformed,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.6598000000118986],0,40,40,40,1,rifle,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.9554000000357519],0,41,41,41,1,deformed,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.4766999999880568],0,42,42,42,1,tense,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8295999999642731],0,43,43,43,1,inferior,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7781999999880895],0,44,44,44,1,exercise,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7310999999642149],0,45,45,45,1,inferior,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.1908999999761818],0,46,46,46,1,crutch,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.4588000000119337],0,47,47,47,1,obesity,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.2553999999761345],0,48,48,48,1,bless,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.88069999998811],0,49,49,49,1,obesity,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7753000000119528],0,50,50,50,1,pistol,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8090999999642463],0,51,51,51,1,bored,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.9051000000238218],0,52,52,52,1,pity,l,0,NoHit
