"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/hockeygoalieglove.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.371428571428571,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/sportbag.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.388888888888889,1
0,"stimuli/m_orange.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item","stimuli/objects/anchor.jpg",4,1,0,"stimuli/Hand labour tool & accessory.png",0.378378378378378,0
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/solderingwire.jpg",3,4,0,"stimuli/Outdoor activity & sport item.png",0.368421052631579,0
0,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Kitchen & utensil","stimuli/objects/blender.jpg",2,3,0,"stimuli/Hand labour tool & accessory.png",0.358974358974359,1
1,"stimuli/m_orange.jpg","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/gluetube.jpg",3,4,0,"stimuli/Outdoor activity & sport item.png",0.35,0
0,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","Electronic device & accessory","stimuli/objects/alarmsystem.jpg",1,1,1,"stimuli/Electronic device & accessory.png",0.365853658536585,1
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/punchingball.jpg",2,1,0,"stimuli/Electronic device & accessory.png",0.357142857142857,1
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory","stimuli/objects/tablesaw.jpg",3,2,0,"stimuli/Outdoor activity & sport item.png",0.348837209302326,0
0,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Kitchen & utensil","stimuli/objects/bowl02a.jpg",4,1,0,"stimuli/Outdoor activity & sport item.png",0.340909090909091,0
0,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/boogieboard.jpg",3,4,0,"stimuli/Kitchen & utensil.png",0.333333333333333,0
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/exercisemachine.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.347826086956522,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/charcoalbarbecue.jpg",2,3,0,"stimuli/Electronic device & accessory.png",0.340425531914894,1
