"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
14,NA,"right",2.0332,2,0.6248,"stimuli/objects/boltcutter.jpg","old","left"
14,NA,"right",0.8911,4,0.2329,"stimuli/objects/aluminiumfoil.jpg","new","right"
14,NA,"right",0.7557,4,0.2411,"stimuli/objects/kitchenscale01a.jpg","old","left"
14,NA,"right",0.9018,4,0.1185,"stimuli/objects/lamp04a.jpg","old","left"
14,NA,"right",2.0984,3,0.2976,"stimuli/objects/crocodileclips.jpg","old","left"
14,NA,"right",0.5927,2,0.1781,"stimuli/objects/powercable.jpg","old","left"
14,NA,"right",0.6775,1,0.1972,"stimuli/objects/printer02.jpg","new","right"
14,NA,"left",2.082,4,0.6022,"stimuli/objects/canister.jpg","old","left"
14,NA,"left",1.8538,2,0.2821,"stimuli/objects/lectern01.jpg","old","left"
14,NA,"left",1.7313,1,0.8002,"stimuli/objects/payphone.jpg","old","left"
14,NA,"right",0.8666,3,0.2594,"stimuli/objects/tablesaw.jpg","old","left"
14,NA,"left",1.2365,2,0.1574,"stimuli/objects/caulking.jpg","old","left"
14,NA,"left",1.6564,4,0.3918,"stimuli/objects/wiicontroller.jpg","old","left"
14,NA,"right",0.7666,2,1.1003,"stimuli/objects/fanheater.jpg","old","left"
14,NA,"right",0.7566,2,0.355,"stimuli/objects/studiolight.jpg","new","right"
14,NA,"right",0.5791,1,0.3216,"stimuli/objects/soundmixer.jpg","old","left"
14,NA,"left",1.6959,1,0.273,"stimuli/objects/hockeygoaliepad.jpg","new","right"
14,NA,"left",1.8392,3,0.0538,"stimuli/objects/heatpump.jpg","old","left"
14,NA,"right",1.4161,2,1.1372,"stimuli/objects/knifesharpener.jpg","old","left"
14,NA,"right",1.137,1,0.1969,"stimuli/objects/shovel01.jpg","new","right"
14,NA,"left",1.1402,2,0.1478,"stimuli/objects/servingspoon01.jpg","old","left"
14,NA,"right",1.2681,4,0.3175,"stimuli/objects/stovetop.jpg","new","right"
14,NA,"right",0.9561,4,0.1345,"stimuli/objects/cutleryset.jpg","new","right"
14,NA,"right",0.7621,4,0.5751,"stimuli/objects/contactlens.jpg","new","right"
14,NA,"right",1.0283,3,0.2199,"stimuli/objects/screwdriver04b.jpg","new","right"
14,NA,"left",1.2776,4,0.3062,"stimuli/objects/carlighter02.jpg","old","left"
14,NA,"right",1.7697,2,0.3598,"stimuli/objects/measuringspoon.jpg","old","left"
14,NA,"left",2.7681,3,0.3705,"stimuli/objects/cleaver01.jpg","old","left"
14,NA,"right",1.9855,2,0.949,"stimuli/objects/shotglass.jpg","old","left"
14,NA,"left",2.083,4,0.1617,"stimuli/objects/squeegee01b.jpg","old","left"
14,NA,"left",1.249,4,0.6399,"stimuli/objects/battery02b.jpg","old","left"
14,NA,"right",3.6623,1,0.5089,"stimuli/objects/lightbulb01.jpg","old","left"
14,NA,"right",1.2296,3,1.1646,"stimuli/objects/nutcracker01.jpg","new","right"
14,NA,"left",1.1886,4,0.2712,"stimuli/objects/beermug01a.jpg","old","left"
14,NA,"right",0.8756,4,0.2049,"stimuli/objects/bottlecap.jpg","old","left"
14,NA,"left",1.0762,2,1.0757,"stimuli/objects/speaker04.jpg","new","right"
14,NA,"right",1.8162,3,1.1164,"stimuli/objects/cassettetape01a.jpg","new","right"
14,NA,"right",0.9898,4,0.2711,"stimuli/objects/tableknife02.jpg","new","right"
14,NA,"right",0.8928,3,0.0087,"stimuli/objects/filmnegative.jpg","old","left"
